country_code,country_name,year,variant,population,last_updated
666,Saint Pierre and Miquelon,2024,Medium,3301.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,3251.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,3205.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,3163.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,3119.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,3072.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,3028.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,2990.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,2946.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,2903.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,2867.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,2833.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,2788.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,2754.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,2717.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,2677.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,2642.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,2604.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,2573.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,2532.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,2497.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,2467.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,2429.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,2402.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,2362.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,2329.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,2290.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,2263.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,2231.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,2200.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,2163.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,2126.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,2095.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,2062.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,2032.0,2025-07-02
840,United States of America,2024,Medium,344479572.0,2025-07-02
840,United States of America,2024,Medium,346373570.0,2025-07-02
840,United States of America,2024,Medium,348178045.0,2025-07-02
840,United States of America,2024,Medium,349892943.0,2025-07-02
840,United States of America,2024,Medium,351563767.0,2025-07-02
840,United States of America,2024,Medium,353244404.0,2025-07-02
840,United States of America,2024,Medium,354856131.0,2025-07-02
840,United States of America,2024,Medium,356443631.0,2025-07-02
840,United States of America,2024,Medium,358001800.0,2025-07-02
840,United States of America,2024,Medium,359538148.0,2025-07-02
840,United States of America,2024,Medium,361049869.0,2025-07-02
840,United States of America,2024,Medium,362553753.0,2025-07-02
840,United States of America,2024,Medium,364015679.0,2025-07-02
840,United States of America,2024,Medium,365447640.0,2025-07-02
840,United States of America,2024,Medium,366857100.0,2025-07-02
840,United States of America,2024,Medium,368245811.0,2025-07-02
840,United States of America,2024,Medium,369567825.0,2025-07-02
840,United States of America,2024,Medium,370850807.0,2025-07-02
840,United States of America,2024,Medium,372088149.0,2025-07-02
840,United States of America,2024,Medium,373321395.0,2025-07-02
840,United States of America,2024,Medium,374479960.0,2025-07-02
840,United States of America,2024,Medium,375578531.0,2025-07-02
840,United States of America,2024,Medium,376634414.0,2025-07-02
840,United States of America,2024,Medium,377629041.0,2025-07-02
840,United States of America,2024,Medium,378606493.0,2025-07-02
840,United States of America,2024,Medium,379520996.0,2025-07-02
840,United States of America,2024,Medium,380412816.0,2025-07-02
840,United States of America,2024,Medium,381281003.0,2025-07-02
840,United States of America,2024,Medium,382135790.0,2025-07-02
840,United States of America,2024,Medium,382951717.0,2025-07-02
840,United States of America,2024,Medium,383766947.0,2025-07-02
840,United States of America,2024,Medium,384524893.0,2025-07-02
840,United States of America,2024,Medium,385263702.0,2025-07-02
840,United States of America,2024,Medium,386020980.0,2025-07-02
840,United States of America,2024,Medium,386829472.0,2025-07-02
840,United States of America,2024,Medium,387677939.0,2025-07-02
840,United States of America,2024,Medium,388508176.0,2025-07-02
840,United States of America,2024,Medium,389328613.0,2025-07-02
840,United States of America,2024,Medium,390201974.0,2025-07-02
840,United States of America,2024,Medium,391093069.0,2025-07-02
840,United States of America,2024,Medium,391998168.0,2025-07-02
840,United States of America,2024,Medium,392890288.0,2025-07-02
840,United States of America,2024,Medium,393814930.0,2025-07-02
840,United States of America,2024,Medium,394773769.0,2025-07-02
840,United States of America,2024,Medium,395760683.0,2025-07-02
840,United States of America,2024,Medium,396735888.0,2025-07-02
840,United States of America,2024,Medium,397738922.0,2025-07-02
840,United States of America,2024,Medium,398697254.0,2025-07-02
840,United States of America,2024,Medium,399688585.0,2025-07-02
840,United States of America,2024,Medium,400615022.0,2025-07-02
840,United States of America,2024,Medium,401546043.0,2025-07-02
840,United States of America,2024,Medium,402440653.0,2025-07-02
840,United States of America,2024,Medium,403379673.0,2025-07-02
840,United States of America,2024,Medium,404262179.0,2025-07-02
840,United States of America,2024,Medium,405104745.0,2025-07-02
840,United States of America,2024,Medium,405932659.0,2025-07-02
840,United States of America,2024,Medium,406707200.0,2025-07-02
840,United States of America,2024,Medium,407452432.0,2025-07-02
840,United States of America,2024,Medium,408280137.0,2025-07-02
840,United States of America,2024,Medium,409031584.0,2025-07-02
840,United States of America,2024,Medium,409771734.0,2025-07-02
840,United States of America,2024,Medium,410497599.0,2025-07-02
840,United States of America,2024,Medium,411162370.0,2025-07-02
840,United States of America,2024,Medium,411877803.0,2025-07-02
840,United States of America,2024,Medium,412595750.0,2025-07-02
840,United States of America,2024,Medium,413361810.0,2025-07-02
840,United States of America,2024,Medium,414099672.0,2025-07-02
840,United States of America,2024,Medium,414815608.0,2025-07-02
840,United States of America,2024,Medium,415557170.0,2025-07-02
840,United States of America,2024,Medium,416300830.0,2025-07-02
840,United States of America,2024,Medium,417023423.0,2025-07-02
840,United States of America,2024,Medium,417759808.0,2025-07-02
840,United States of America,2024,Medium,418471247.0,2025-07-02
840,United States of America,2024,Medium,419128948.0,2025-07-02
840,United States of America,2024,Medium,419793086.0,2025-07-02
840,United States of America,2024,Medium,420398554.0,2025-07-02
840,United States of America,2024,Medium,421007222.0,2025-07-02
909,Oceania,2024,Medium,45825906.0,2025-07-02
909,Oceania,2024,Medium,46351526.0,2025-07-02
909,Oceania,2024,Medium,46867762.0,2025-07-02
909,Oceania,2024,Medium,47370225.0,2025-07-02
909,Oceania,2024,Medium,47868058.0,2025-07-02
909,Oceania,2024,Medium,48358248.0,2025-07-02
909,Oceania,2024,Medium,48835150.0,2025-07-02
909,Oceania,2024,Medium,49307894.0,2025-07-02
909,Oceania,2024,Medium,49773005.0,2025-07-02
909,Oceania,2024,Medium,50228953.0,2025-07-02
909,Oceania,2024,Medium,50680280.0,2025-07-02
909,Oceania,2024,Medium,51127834.0,2025-07-02
909,Oceania,2024,Medium,51574676.0,2025-07-02
909,Oceania,2024,Medium,52019454.0,2025-07-02
909,Oceania,2024,Medium,52453809.0,2025-07-02
909,Oceania,2024,Medium,52891440.0,2025-07-02
